PM 2.5,WD,Direction
306.13,32.71,NNE
271.01,59.85,ENE
221.23,51.18,NE
178.2,36.56,NE
205.33,48.37,NE
144.08,70.33,ENE
103.0,53.76,NE
116.58,252.07,WSW
191.98,219.41,SW
162.52,250.32,WSW
133.23,289.34,WNW
160.14,244.93,WSW
240.9,229.56,SW
232.79,216.16,SW
181.59,258.93,W
234.57,305.05,NW
160.61,324.29,NW
140.9,170.36,S
163.71,42.9,NE
195.2,47.54,NE
296.33,43.71,NE
316.92,47.82,NE
466.48,15.22,NNE
392.19,6.55,N
380.08,9.69,N
405.49,11.22,N
95.72,28.69,NNE
147.69,29.31,NNE
136.52,24.14,NNE
162.55,38.03,NE
201.91,39.86,NE
243.77,42.82,NE
311.92,36.23,NE
293.83,20.78,NNE
264.72,7.87,N
307.35,19.42,NNE
134.88,29.15,NNE
80.12,71.89,ENE
66.98,15.29,NNE
37.41,20.71,NNE
71.35,15.22,NNE
69.42,15.51,NNE
95.14,19.83,NNE
171.33,18.61,NNE
130.75,19.06,NNE
94.2,18.8,NNE
133.61,7.19,N
192.48,6.97,N
163.1,12.19,NNE
176.3,20.98,NNE
253.73,11.26,NNE
193.04,27.36,NNE
145.45,73.18,ENE
86.34,55.03,NE
91.17,32.3,NNE
83.15,27.62,NNE
117.29,27.41,NNE
99.28,31.71,NNE
79.58,32.39,NNE
109.28,47.06,NE
113.48,53.19,NE
223.29,38.66,NE
167.95,48.58,NE
156.1,26.57,NNE
132.66,13.92,NNE
51.14,9.07,N
75.16,5.66,N
124.97,18.16,NNE
157.82,8.48,N
137.93,8.49,N
91.61,28.88,NNE
74.2,17.13,NNE
65.56,41.54,NE
80.01,34.69,NE
126.46,12.32,NNE
114.2,9.83,N
86.19,7.04,N
119.51,21.66,NNE
91.4,16.52,NNE
99.85,14.39,NNE
51.46,25.63,NNE
63.07,39.11,NE
66.77,36.04,NE
105.47,29.7,NNE
99.59,29.27,NNE
123.67,36.44,NE
103.88,22.93,NNE
22.06,30.09,NNE
26.58,7.38,N
32.4,13.73,NNE
64.26,9.84,N
99.77,7.34,N
67.38,10.37,N
62.68,15.21,NNE
40.94,46.07,NE
67.53,23.86,NNE
120.07,16.92,NNE
93.85,77.71,ENE
54.76,123.2,ESE
49.68,76.29,ENE
61.47,72.24,ENE
60.26,111.94,ESE
76.05,98.78,E
99.46,147.87,SSE
104.45,138.85,SE
76.33,84.34,E
103.17,110.86,ESE
102.37,313.9,NW
99.79,268.21,W
91.36,190.2,S
117.01,127.39,SE
64.65,112.71,ESE
96.16,144.33,SE
107.89,177.11,S
78.42,116.95,ESE
69.45,95.06,E
75.58,154.83,SSE
91.2,226.52,SW
115.98,73.54,ENE
111.55,108.66,ESE
135.69,239.92,WSW
62.3,129.39,SE
105.21,168.15,SSE
95.44,184.55,S
107.85,67.73,ENE
86.7,93.81,E
95.97,117.46,ESE
114.19,139.64,SE
103.69,181.48,S
99.9,89.0,E
96.02,95.46,E
106.07,83.52,E
85.89,96.72,E
111.53,113.78,ESE
68.52,116.23,ESE
79.25,195.14,SSW
113.03,193.71,SSW
113.87,184.89,S
102.22,207.28,SSW
135.14,153.17,SSE
79.73,166.24,SSE
102.01,157.15,SSE
55.82,188.07,S
96.08,172.71,S
91.59,157.89,SSE
79.31,163.04,SSE
65.18,175.82,S
183.1,166.29,SSE
186.03,120.41,ESE
180.57,165.2,SSE
147.17,135.85,SE
114.71,203.61,SSW
85.58,150.6,SSE
113.13,161.12,SSE
92.06,155.95,SSE
76.55,185.16,S
138.11,121.63,ESE
107.44,187.34,S
89.72,174.88,S
68.69,148.55,SSE
68.58,211.31,SSW
65.32,131.21,SE
72.62,124.12,SE
93.27,176.57,S
129.82,175.09,S
148.58,124.13,SE
134.06,168.02,SSE
71.22,205.58,SSW
90.18,207.06,SSW
94.41,137.43,SE
104.68,153.16,SSE
77.73,147.35,SSE
69.95,197.57,SSW
31.56,190.91,S
42.45,196.36,SSW
84.81,210.21,SSW
115.0,211.45,SSW
96.12,177.76,S
76.49,124.06,SE
74.81,181.92,S
74.35,139.96,SE
104.86,185.76,S
110.78,179.47,S
72.71,191.55,SSW
90.97,189.49,S
81.03,161.76,SSE
